trainer/global_step,_step,acc/val,_runtime,loss/val,epoch,_timestamp,acc/train_epoch,loss/train_epoch,lr-Adam,loss/train_step,acc/test,loss/test
521,54,0.9313725233078003,613.518978247,0.22439448535442352,17.0,1736382953.38266,,,,,,
521,55,,613.523642124,,17.0,1736382953.3875084,1.0,0.00012323383998591453,,,,
549,56,,618.7599836,,,1736382958.623679,,,1e-05,,,
549,57,,618.87414883,,18.0,1736382958.737962,,,,5.8416477259015664e-05,,
550,58,0.9313725233078003,620.571718484,0.2428242713212967,18.0,1736382960.4354362,,,,,,
550,59,,650.391255497,,18.0,1736382990.2549357,1.0,9.819044498726726e-05,,,,
579,60,0.9411764740943909,657.605185325,0.23538048565387726,19.0,1736382997.4689326,,,,,,
579,61,,689.213461403,,19.0,1736383029.0772135,1.0,8.495966903865337e-05,,,,
599,62,,693.732392372,,,1736383033.5960553,,,1e-05,,,
599,63,,693.84621575,,20.0,1736383033.7100406,,,,7.429427932947874e-05,,
608,64,0.9411764740943909,696.527385387,0.24181118607521057,20.0,1736383036.3911355,,,,,,
608,65,,727.663217473,,20.0,1736383067.5269816,1.0,7.484576781280339e-05,,,,
637,66,0.9411764740943909,734.793087326,0.23051592707633972,21.0,1736383074.6567962,,,,,,
637,67,,765.988867266,,21.0,1736383105.8526697,1.0,6.55847616144456e-05,,,,
649,68,,769.403156152,,,1736383109.2667723,,,1e-05,,,
649,69,,769.517324066,,22.0,1736383109.3811405,,,,5.9954407333862036e-05,,
666,70,0.9509803652763367,773.18184211,0.2214057743549347,22.0,1736383113.0455775,,,,,,
666,71,,773.186118791,,22.0,1736383113.049995,1.0,6.847477925475687e-05,,,,
695,72,0.9313725233078003,780.383648186,0.23960824310779572,23.0,1736383120.2474303,,,,,,
