trainer/global_step,_step,acc/val,_runtime,loss/val,epoch,_timestamp,acc/train_epoch,loss/train_epoch,lr-SGD,loss/train_step,acc/test,loss/test
260,27,,238.758463512,,8.0,1736361412.7489007,0.7069717049598694,1.195920705795288,,,,
289,28,0.6764705777168274,246.474021167,1.2794533967971802,9.0,1736361420.4643915,,,,,,
289,29,,246.478746576,,9.0,1736361420.4693007,0.7080609798431396,1.19896399974823,,,,
299,30,,249.898390499,,,1736361423.8886797,,,1e-05,,,
299,31,,250.008667467,,10.0,1736361423.9990315,,,,0.8834170699119568,,
318,32,0.6764705777168274,254.327659428,1.2727248668670654,10.0,1736361428.3177097,,,,,,
318,33,,274.241063982,,10.0,1736361448.231492,0.7124183177947998,1.17104971408844,,,,
347,34,0.6666666865348816,282.046123091,1.2263686656951904,11.0,1736361456.036445,,,,,,
347,35,,282.05194644,,11.0,1736361456.042408,0.7102396488189697,1.1771221160888672,,,,
349,36,,284.435216337,,,1736361458.4248111,,,1e-05,,,
349,37,,284.556323956,,12.0,1736361458.5464108,,,,1.2110345363616943,,
376,38,0.6764705777168274,289.637804448,1.2123608589172363,12.0,1736361463.628064,,,,,,
376,39,,309.654869547,,12.0,1736361483.6452768,0.7156862616539001,1.1507879495620728,,,,
399,40,,314.674516369,,,1736361488.6643972,,,1e-05,,,
399,41,,314.784686602,,13.0,1736361488.7749052,,,,0.8480103611946106,,
405,42,0.686274528503418,317.327297226,1.225297451019287,13.0,1736361491.3176482,,,,,,
405,43,,337.914626168,,13.0,1736361511.9049518,0.7124183177947998,1.1440424919128418,,,,
434,44,0.6764705777168274,345.747844562,1.190342664718628,14.0,1736361519.7378473,,,,,,
434,45,,365.582686569,,14.0,1736361539.5730116,0.7189542651176453,1.13968026638031,,,,
449,46,,369.704756325,,,1736361543.6950457,,,1e-05,,,
449,47,,369.814701596,,15.0,1736361543.8051445,,,,0.9255543947219849,,
463,48,0.656862735748291,373.388564495,1.212300419807434,15.0,1736361547.378842,,,,,,
463,49,,394.154326479,,15.0,1736361568.144495,0.7211328744888306,1.127341866493225,,,,
492,50,0.6764705777168274,402.017907399,1.1938337087631226,16.0,1736361576.0081646,,,,,,
492,51,,422.120331985,,16.0,1736361596.110743,0.7167755961418152,1.1174039840698242,,,,
499,52,,425.217344436,,,1736361599.2075741,,,1e-05,,,
499,53,,425.329003382,,17.0,1736361599.3192985,,,,0.9890954494476318,,
521,54,0.6764705777168274,429.971559721,1.2129089832305908,17.0,1736361603.961729,,,,,,
521,55,,450.467802909,,17.0,1736361624.4579916,0.7178649306297302,1.1099472045898438,,,,
549,56,,456.119980784,,,1736361630.110314,,,1e-05,,,
549,57,,456.230072485,,18.0,1736361630.2204468,,,,1.311450481414795,,
550,58,0.6666666865348816,458.245495288,1.1900897026062012,18.0,1736361632.235681,,,,,,
550,59,,477.726077976,,18.0,1736361651.7165198,0.7167755961418152,1.103968858718872,,,,
579,60,0.6764705777168274,485.624327636,1.161075234413147,19.0,1736361659.6145215,,,,,,
579,61,,506.317685729,,19.0,1736361680.3080592,0.7233115434646606,1.0915154218673706,,,,
599,62,,511.112353497,,,1736361685.1026537,,,1e-05,,,
599,63,,511.222446451,,20.0,1736361685.2128448,,,,0.9798529744148254,,
608,64,0.686274528503418,514.250969002,1.1481214761734009,20.0,1736361688.2412527,,,,,,
608,65,,535.098201222,,20.0,1736361709.0885394,0.7298474907875061,1.0807398557662964,,,,
637,66,0.686274528503418,543.095274633,1.143815040588379,21.0,1736361717.0853758,,,,,,
637,67,,562.106705701,,21.0,1736361736.096961,0.7309368252754211,1.0715466737747192,,,,
649,68,,566.048956699,,,1736361740.0392575,,,1e-05,,,
649,69,,566.159597334,,22.0,1736361740.1499643,,,,1.1537485122680664,,
666,70,0.6666666865348816,570.122371495,1.1501628160476685,22.0,1736361744.1125212,,,,,,
666,71,,589.689704155,,22.0,1736361763.6800559,0.7385621070861816,1.0649981498718262,,,,
695,72,0.686274528503418,597.502434403,1.1006008386611938,23.0,1736361771.4927368,,,,,,
